21,ARTHUR MYERS,878 Rose Street 42778,7866868240
18,JOSEPH HUDSON,264 Aspen Court 98784,7567648738
19,ALBERTO HICKMAN,272 Cedar Court 69237,9181720584
109,FELICIA TAYLOR,762 Summer Street 10744,4048769472
110,JOAN LAWRENCE,375 Arlington Avenue 61571,6818055423
111,DOROTHY BENDER,407 Linden Avenue 88973,6731434982
23,JOHN HOLLOWAY,566 Pin Oak Drive 37606,8690012733
10,SALVADOR ALVARADO,130 Franklin Street 66180,1138117395
4,ALFRED KIRBY,528 Sycamore Drive 64882,3016975202
2,IRMA MEJIA,402 Sycamore Drive 64882,6930332119
3,CLAYTON SCHROEDER,856 Laurel Lane 76561,1821613610
12,KIMBERLY LOPEZ,23 Franklin Avenue 50802,3051301361
9,JAMIE BARRY,842 Willow Lane 67753,8337584482
25,JULIE FLORES,521 Sunset Avenue 79163,9075835679
107,MELISSA LEE,587 Creekside Drive 57833,3300847952
7,GERALD MURPHY,332 Pin Oak Drive 37606,7935852072
15,RYAN BYERS,722 York Street 59531,5391456429
