192,JAMES MASON,742 8th Avenue 35864,1331506808
165,ROGER EDWARDS,414 Sheffield Drive 66105,7737292291
118,HELEN JACOBS,520 Country Lane 67596,8386718080
162,MARY THORNTON,816 Lincoln Street 76659,8628225013
113,JOANN TRAN,35 Woodland Drive 43587,7833624109
107,MELISSA LEE,587 Creekside Drive 57833,3300847952
135,NAOMI TERRY,398 Liberty Street 91169,1114275371
182,MARTIN RHODES,413 Broad Street West 68607,717048500
161,ANGEL SWANSON,388 Wood Street 17382,1828476697
23,JOHN HOLLOWAY,566 Pin Oak Drive 37606,8690012733
157,DONALD MYERS,357 Chestnut Street 43792,5442468068
181,DARRELL HALL,177 Cleveland Street 56080,3895350206
175,WILLIAM BARRY,271 Canterbury Road 49976,6096277887
146,CLINTON MURPHY,546 Creekside Drive 57833,3681978245
25,JULIE FLORES,521 Sunset Avenue 79163,9075835679
191,PAMELA TUCKER,724 Manor Drive 34543,9397936064
199,MARSHALL JOHNSON,960 Smith Street 92961,4854212581
120,DANA HOPPER,921 Cypress Court 85692,811018571
111,DOROTHY BENDER,407 Linden Avenue 88973,6731434982
134,DEAN MARQUEZ,299 3rd Street West 49494,1870946448
173,DONALD GUTHRIE,208 Adams Avenue 22746,9366446061
170,ANTHONY PARKER,526 Brandywine Drive 82671,6950698931
185,RICHARD HAWKINS,465 Sunset Drive 24732,8450000196
198,KENNETH REYNOLDS,377 Prospect Avenue 67738,3772250481
209,LORI ANDERSON,452 Heather Lane 28531,7388222806
127,CINDY SMITH,381 Eagle Street 78249,4226615487
167,GREGORY THOMAS,461 Bridle Court 30953,1871232452
179,LAURA ALFORD,981 11th Street 13157,6140977622
152,JOHN MOORE,388 Pleasant Street 50211,118311441
148,SCOTT COFFEY,200 6th Street West 39784,4384388480
139,ROBERT RHODES,878 Ridge Road 11438,3047550997
210,RANDALL JOHNSON,510 Holly Drive 80424,3947830074
204,BOBBY CAMPBELL,697 Madison Avenue 80218,9665988556
195,ANDRE LUNA,15 White Street 45539,7728416540
133,JO MITCHELL,495 Front Street 40827,9951681058
202,ANDREA WILCOX,448 Cambridge Drive 28023,8286647866
109,FELICIA TAYLOR,762 Summer Street 10744,4048769472
18,JOSEPH HUDSON,264 Aspen Court 98784,7567648738
159,STEPHEN CAMPBELL,115 State Street East 22088,3910429268
155,JANICE BROWN,692 Maple Lane 56197,9398187244
116,GERALD MARTIN,291 Locust Street 20749,6858119059
184,KAREN BARNES,999 Schoolhouse Lane 42724,351497658
21,ARTHUR MYERS,878 Rose Street 42778,7866868240
151,WILLIAM MADDOX,904 4th Street West 76882,575462466
124,BILLY BROOKS,910 Route 7 78577,8409445422
132,FELIX POWERS,603 Victoria Court 48033,4476184803
28,DANNY HENRY,821 Colonial Drive 29508,6560449619
188,EDWIN KIDD,90 Broad Street West 68607,1440809135
206,MARK LANE,603 Route 1 61299,3710316146
130,DAVID GONZALEZ,709 Hamilton Road 73195,751787143
144,COLLEEN BAUER,120 2nd Street North 97236,6108438791
177,KATHRYN BURCH,823 York Road 24406,9747455254
138,EDITH GORDON,890 Route 64 35497,1148618756
178,STEPHEN JOHNSON,79 Canal Street 45939,2853688296
19,ALBERTO HICKMAN,272 Cedar Court 69237,9181720584
115,CAROL WILLIS,416 Depot Street 50769,3205595022
131,LISA LONG,553 Hawthorne Avenue 19379,9094816822
121,ESTHER SCOTT,299 Fairview Road 73876,1071549373
142,WILLIAM MARSHALL,53 6th Avenue 65189,7790835590
110,JOAN LAWRENCE,375 Arlington Avenue 61571,6818055423
205,JOHN CRAIG,276 Monroe Street 18176,1856453201
15,RYAN BYERS,722 York Street 59531,5391456429
126,CONNIE SCHULTZ,670 Buttonwood Drive 89682,2056172666
